data_bulletin;outcome;yes;no;total
2022-06-17;Admitted to ICU;0;89;89
2022-06-17;Hospitalized;12;87;99
2022-06-17;Died;0;306;306
2022-06-17;HIV-Positive;28;50;78
2022-06-17;MSM;423;7;430
2022-06-17;Health worker;3;93;96
2022-06-22;Admitted to ICU;0;249;249
2022-06-22;Hospitalized;35;288;323
2022-06-22;Died;0;1003;1003
2022-06-22;HIV-Positive;115;166;281
2022-06-22;Health worker;5;273;278
2022-06-29;Admitted to ICU;1;422;423
2022-06-29;Hospitalized;76;690;766
2022-06-29;Died;0;2004;2004
2022-06-29;HIV-Positive;275;424;699
2022-06-29;Health worker;10;479;489
2022-07-06;Admitted to ICU;1;585;586
2022-07-06;Hospitalized;100;913;1013
2022-07-06;Died;0;4012;4012
2022-07-06;HIV-Positive;364;553;917
2022-07-06;Health worker;15;666;681
2022-07-13;Admitted to ICU;3;838;841
2022-07-13;Hospitalized;183;1605;1788
2022-07-13;Died;0;3506;3506
2022-07-13;HIV-Positive;561;752;1313
2022-07-13;Health worker;23;984;1007
2022-07-20;Admitted to ICU;1;1359;1360
2022-07-20;Hospitalized;256;2919;3175
2022-07-20;Died;0;5237;5237
2022-07-20;HIV-Positive;923;1480;2403
2022-07-20;Health worker;31;1167;1198
2022-07-27;Admitted to ICU;1;2736;2737
2022-07-27;Hospitalized;339;5165;5504
2022-07-27;Died;0;7866;7866
2022-07-27;HIV-Positive;2153;3736;5889
2022-07-27;Health worker;34;1442;1476
2022-08-03;Admitted to ICU;3;3436;3439
2022-08-03;Hospitalized;399;6730;7129
2022-08-03;Died;2;10069;10071
2022-08-03;HIV-Positive;2690;4797;7487
2022-08-03;Health worker;41;1859;1900
2022-08-10;Admitted to ICU;3;3809;3812
2022-08-10;Hospitalized;455;7419;7874
2022-08-10;Died;2;11427;11429
2022-08-10;HIV-Positive;2911;5245;8156
2022-08-10;Health worker;48;2777;2825
2022-08-17;Admitted to ICU;2;4165;4167
2022-08-17;Hospitalized;505;8164;8669
2022-08-17;Died;2;12591;12593
2022-08-17;HIV-Positive;2749;4573;7322
2022-08-17;Health worker;57;3215;3272
2022-08-24;Admitted to ICU;4;5555;5559
2022-08-24;Hospitalized;576;9156;9732
2022-08-24;Died;2;13891;13893
2022-08-24;HIV-Positive;3070;5187;8257
2022-08-24;Health worker;64;3644;3708
2022-08-31;Admitted to ICU;3;5865;5868
2022-08-31;Hospitalized;607;9672;10279
2022-08-31;Died;3;15125;15128
2022-08-31;HIV-Positive;3304;5660;8964
2022-08-31;Health worker;84;4574;4658
2022-09-06;Admitted to ICU;5;6107;6112
2022-09-06;Hospitalized;638;9995;10633
2022-09-06;Died;3;15851;15854
2022-09-06;HIV-Positive;3406;5868;9274
2022-09-06;Health worker;87;4814;4901
2022-09-14;Admitted to ICU;5;6291;6296
2022-09-14;Hospitalized;670;10302;10972
2022-09-14;Died;3;16338;16341
2022-09-14;HIV-Positive;3929;7286;11215
2022-09-14;Health worker;91;5007;5098
2022-09-21;Admitted to ICU;6;6448;6454
2022-09-21;Hospitalized;691;10567;11258
2022-09-21;Died;5;16757;16762
2022-09-21;HIV-Positive;3573;6174;9747
2022-09-21;Health worker;94;5178;5272
2022-09-28;Admitted to ICU;5;6582;6587
2022-09-28;Hospitalized;710;10743;11453
2022-09-28;Died;4;17022;17026
2022-09-28;HIV-Positive;3730;6157;9887
2022-10-05;Admitted to ICU;5;6670;6675
2022-10-05;Hospitalized;724;10822;11546
2022-10-05;Died;4;17164;17168
2022-10-05;HIV-Positive;3773;6241;10014
2022-10-12;Admitted to ICU;5;6736;6741
2022-10-12;Hospitalized;729;10885;11614
2022-10-12;Died;4;17279;17283
2022-10-12;HIV-Positive;3781;6269;10050
2022-10-19;Admitted to ICU;5;6759;6764
2022-10-19;Hospitalized;736;10947;11683
2022-10-19;Died;4;17456;17460
2022-10-19;HIV-Positive;3787;6277;10064
2022-10-26;Admitted to ICU;6;6846;6852
2022-10-26;Hospitalized;747;11064;11811
2022-10-26;Died;4;17572;17576
2022-10-26;HIV-Positive;3832;6357;10189
2022-11-09;Admitted to ICU;6;6855;6861
2022-11-09;Hospitalized;757;11103;11860
2022-11-09;Died;4;17627;17631
2022-11-09;HIV-Positive;3842;6364;10206
2022-11-23;Admitted to ICU;6;6855;6861
2022-11-23;Hospitalized;757;11103;11860
2022-11-23;Died;4;17627;17631
2022-11-23;HIV-Positive;3842;6364;10206
2022-12-07;Admitted to ICU;7;6941;6948
2022-12-07;Hospitalized;770;11215;11985
2022-12-07;Died;5;17784;17789
2022-12-07;HIV-Positive;3878;6408;10286
2022-12-21;Admitted to ICU;7;6970;6977
2022-12-21;Hospitalized;771;11260;12031
2022-12-21;Died;5;17891;17896
2022-12-21;HIV-Positive;3926;6431;10357
2023-01-04;Admitted to ICU;7;6974;6981
2023-01-04;Hospitalized;773;11290;12063
2023-01-04;Died;5;17921;17926
2023-01-04;HIV-Positive;3927;6439;10366
